Image link,Enchantment Name,Eligible Items,Effect(s) I / II / III / IV,Enchantment Labels,Incompatible Labels
//i.imgur.com/G653TKh.png,Attack Bonus,ALL,+1.4/2.2/3/3.8 ATT,SINGLESTAT ATTACK FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense Bonus,ALL,+1.4/2.2/3/3.8 DEF,SINGLESTAT DEFENSE FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity Bonus,ALL,+1.4/2.2/3/3.8 DEX,SINGLESTAT DEXTERITY FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana Bonus,ALL,+20/30/40/50 MP,SINGLESTAT MANA FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life Bonus,ALL,+15/20/25/30 HP,SINGLESTAT LIFE FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed Bonus,ALL,+2.2/3.4/4.6/5.8 SPD,SINGLESTAT SPEED FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality Bonus,ALL,+1.8/2.8/3.8/4.8 VIT,SINGLESTAT VITALITY FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom Bonus,ALL,+1.8/2.8/3.8/4.8 WIS,SINGLESTAT WISDOM FLATBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Attack Bonus,ALL,+7%/10%/13%/16% ATT of Bonus ATT,SINGLESTAT ATTACK RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Defense Bonus,ALL,+6%/8%/10%/12% DEF of Bonus DEF,SINGLESTAT DEFENSE RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus DEX,SINGLESTAT DEXTERITY RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Mana Bonus,ALL,+6%/8%/10%/12% MP of Bonus MP,SINGLESTAT MANA RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Life Bonus,ALL,+6%/8%/10%/12% HP of Bonus HP,SINGLESTAT LIFE RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus SPD,SINGLESTAT SPEED RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus VIT,SINGLESTAT VITALITY RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Relative Wisdom Bonus,ALL,+7%/10%/13%/16% WIS of Bonus WIS,SINGLESTAT WISDOM RELATIVEBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Attack Bonus,ALL,+6%/8%/10%/12% ATT of Bonus DEF,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Attack Bonus,ALL,+7%/10%/13%/16% ATT of Bonus DEX,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Attack Bonus,ALL,+.75%/1%/1.25%/1.5% ATT of Bonus MP,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Attack Bonus,ALL,+.75%/1%/1.25%/1.5% ATT of Bonus HP,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Attack Bonus,ALL,+7%/10%/13%/16% ATT of Bonus SPD,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Attack Bonus,ALL,+7%/10%/13%/16% ATT of Bonus VIT,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Attack Bonus,ALL,+7%/10%/13%/16% ATT of Bonus WIS,SINGLESTAT ATTACK CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Defense Bonus,ALL,+7%/10%/13%/16% DEF of Bonus ATT,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Defense Bonus,ALL,+7%/10%/13%/16% DEF of Bonus DEX,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Defense Bonus,ALL,+.75%/1%/1.25%/1.5% DEF of Bonus MP,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Defense Bonus,ALL,+.75%/1%/1.25%/1.5% DEF of Bonus HP,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Defense Bonus,ALL,+7%/10%/13%/16% DEF of Bonus SPD,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Defense Bonus,ALL,+7%/10%/13%/16% DEF of Bonus VIT,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Defense Bonus,ALL,+7%/10%/13%/16% DEF of Bonus WIS,SINGLESTAT DEFENSE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus ATT,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus DEF,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Dexterity Bonus,ALL,+.75%/1%/1.25%/1.5% DEX of Bonus MP,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Dexterity Bonus,ALL,+.75%/1%/1.25%/1.5% DEX of Bonus HP,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus SPD,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus VIT,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Dexterity Bonus,ALL,+7%/10%/13%/16% DEX of Bonus WIS,SINGLESTAT DEXTERITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Mana Bonus,ALL,+60/80/100/120 % MP of Bonus ATT,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Mana Bonus,ALL,+55/70/85/100 % MP of Bonus DEF,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Mana Bonus,ALL,+60/80/100/120 % MP of Bonus DEX,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Mana Bonus,ALL,+6%/8%/10%/12% MP of Bonus HP,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Mana Bonus,ALL,+60/80/100/120 % MP of Bonus SPD,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Mana Bonus,ALL,+55/70/85/100 % MP of Bonus VIT,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Mana Bonus,ALL,+55/70/85/100 % MP of Bonus WIS,SINGLESTAT MANA CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Life Bonus,ALL,+60/80/100/120 % HP of Bonus ATT,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Life Bonus,ALL,+55/70/85/100 % HP of Bonus DEF,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Life Bonus,ALL,+60/80/100/120 % HP of Bonus DEX,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Life Bonus,ALL,+4%/6%/8%/10% HP of Bonus MP,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Life Bonus,ALL,+60/80/100/120 % HP of Bonus SPD,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
