Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/f60eWc4.png,7,Royal Blades,Shot 1: 60-80 (70)Shot 2: 40-70 (55),https://i.imgur.com/Mctv9Zt.png
https://i.imgur.com/C6jEQWY.png,8,Blazing Blades,Shot 1: 60-90 (75)Shot 2: 50-80 (65),https://i.imgur.com/4vE3qGD.png
https://i.imgur.com/bUPmsvL.png,9,Garnet Blades,Shot 1: 65-100 (82.5)Shot 2: 50-85 (67.5),https://i.imgur.com/REDfbSA.png
https://i.imgur.com/35hhyaE.png,10,Verdant Blades,Shot 1: 75-105 (90)Shot 2: 55-85 (70),https://i.imgur.com/tkkudxY.png
https://i.imgur.com/BNNIM99.png,11,Occult Blades,Shot 1: 80-110 (95)Shot 2: 60-90 (75),https://i.imgur.com/0AvNXJq.png
https://i.imgur.com/K8Olium.png,12,Bloodshed Blades,Shot 1: 85-120 (102.5)Shot 2: 65-95 (80),https://i.imgur.com/1O1TR3o.png
https://i.imgur.com/7wxKwCd.png,13,Moonstone Blades,Shot 1: 95-130 (112.5)Shot 2: 70-105 (87.5),https://i.imgur.com/FTLpu3e.png
https://i.imgur.com/dlPdeYG.png,14,Soulforged Blades,Shot 1: 105-140 (122.5)Shot 2: 80-110 (95),https://i.imgur.com/zqaKpYK.png
https://i.imgur.com/xh99uQc.png,UT,Fractal Blades,Shot 1: 75–105 (90)Shots hit multiple targetsShot 2: 55–75 (65),https://i.imgur.com/d14hNec.png
https://i.imgur.com/t8IUO31.png,UT,Heart Jewel Blades,Shot 1: 80-110 (95)Shot 2: 60-90 (75),https://i.imgur.com/Kvli3eC.png
https://i.imgur.com/DvJRdy0.png,UT,Boomerang Blades,Shot 1: 95–125 (110)Shot 2: 120–160 (140)Shots hit multiple targetsShots boomerangRate of Fire: 50%,https://i.imgur.com/wVwFvHX.png
https://i.imgur.com/7GCI0X1.png,UT,Hatchling Blades,Shot 1: 95–125 (110)Shot 2: 120–160 (140)Shots hit multiple targetsShots boomerangRate of Fire: 50%,https://i.imgur.com/5WGIQBK.png
https://i.imgur.com/oaJAdR0.png,UT,Frostbite Blades,Shot 1: 85-120 (102.5)Shot 2: 65-95 (80),https://i.imgur.com/y2lgI8Q.png
https://i.imgur.com/DZeA8S2.png,UT,Pirate’s Sidearms,Shot 1: 85-125 (105)Shot 2: 65-100 (82.5),https://i.imgur.com/QTQEJzE.png
https://i.imgur.com/2nMvO0R.png,UT,Hero’s Blades,Shot 1: 95-130 (112.5)Shot 2: 70-105 (87.5),https://i.imgur.com/Pu8p9XE.png
