Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/lOGLI9j.png,7,Gilded Flail,Shot 1: 200-260 (230)Shot 2 and 3: 40-60 (50),https://i.imgur.com/e8QsueV.png
https://i.imgur.com/A1HIp06.png,8,Champion’s Flail,Shot 1: 285-345 (315)Shot 2 and 3: 50-70 (60),https://i.imgur.com/dVtR3HN.png
https://i.imgur.com/eTtGtcr.png,9,Drakerider’s Flail,Shot 1: 295-355 (325)Shot 2 and 3: 55-70 (62.5),https://i.imgur.com/UILtqJg.png
https://i.imgur.com/CXSbYEt.png,10,Infernal Flail,Shot 1: 305-365 (335)Shot 2 and 3: 55-75 (65),https://i.imgur.com/6NMiSVO.png
https://i.imgur.com/dl0dUvC.png,11,Mithril Flail,Shot 1: 315-375 (345)Shot 2 and 3: 60-75 (67.5),https://i.imgur.com/Mt4hLOJ.png
https://i.imgur.com/v7ikhoz.png,12,Celebrant Flail,Shot 1: 325-385 (355)Shot 2 and 3: 60-80 (70),https://i.imgur.com/8MC5Jef.png
https://i.imgur.com/gTT0FPk.png,13,Divine Flail,Shot 1: 340-400 (370)Shot 2 and 3: 65-90 (77.5),https://i.imgur.com/sEUKbY8.png
https://i.imgur.com/gl4nYs7.png,14,Gravelord’s Flail,Shot 1: 355-415 (385)Shot 2 and 3: 70-100 (85),https://i.imgur.com/9UhTsmo.png
https://i.imgur.com/YCLDKsZ.png,UT,Damnation,"Shot 1: 1,000-1,200 (1,100)Shots 2-3: 210-230 (220)-60 HP, +10 DEF, -6 SPD",https://i.imgur.com/W5keJRv.png
https://i.imgur.com/iwtpaxy.png,UT,Barnacle Basher,Shot 1: 375-500 (437.5)Shots 2-4: 50-120 (85),https://i.imgur.com/77WWVnm.png
https://i.imgur.com/wcjhwxu.png,ST,Fury Flail,Shot 1: 300-345 (322.5)Shot 2 and 3: 55-55 (55),https://i.imgur.com/0T2BxZ9.png
https://i.imgur.com/lVWlPOU.png,UT,Lovestruck Yoyo,Shot 1: 315-375 (345)Shot 2 and 3: 60-75 (67.5),https://i.imgur.com/QjIqkMu.png
https://i.imgur.com/7EEWSCl.png,UT,Lament of the Frozen Prisoner,Shot 1: 325-385 (355)Shot 2 and 3: 60-80 (70),https://i.imgur.com/E4Z107T.png
https://i.imgur.com/HhlSETY.png,UT,Seismic Flail,Shot 1: 330–395 (362.5)Shots 2 and 3: 60–80 (70),https://i.imgur.com/bj6mDkJ.png
https://i.imgur.com/6thzNPB.png,UT,Egg Basher,Shot 1: 330–395 (362.5)Shots 2 and 3: 60–80 (70),https://i.imgur.com/VleBFQc.png
https://i.imgur.com/7heW0ET.png,UT,Lion Tamer,Shot 1: 355-400 (377.5)Shot 2 and 3: 40-60 (50),https://i.imgur.com/ciBbEUg.gif
https://i.imgur.com/gu8s1KS.png,UT,Gilded Chain Scythe,Shot 1: 330–390 (360)Shots 2 and 3: 65–85 (75),https://i.imgur.com/UQmlcE8.png
https://i.imgur.com/ZbcgDHv.png,UT,Hero’s Flail,Shot 1: 340-400 (370)Shot 2 and 3: 65-90 (77.5),https://i.imgur.com/OvyVWN2.png
https://i.imgur.com/OkmI5Jz.png,UT,Spooky Smasher,Shot 1: 375-500 (437.5)Shots 2-4: 50-120 (85),https://i.imgur.com/M5N6wVW.png
