Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/4Easyfg.png,7,Morning Star of Mystic Light,55-70 (62.5),https://i.imgur.com/YtnhNLw.png
https://i.imgur.com/vPoseSB.png,8,Morning Star of Silent Mourning,60-70 (65),https://i.imgur.com/SatlFtW.png
https://i.imgur.com/317uRa2.png,9,Morning Star of Hidden Secrets,60-75 (67.5),https://i.imgur.com/EPZ9RzX.png
https://i.imgur.com/K0K9cLI.png,10,Morning Star of the Night,65-75 (70),https://i.imgur.com/aysQVnG.png
https://i.imgur.com/yb5GWvS.png,11,Morning Star of Harrowing Memories,65-80 (72.5),https://i.imgur.com/COjjBo5.png
https://i.imgur.com/Rnnf4Qj.png,12,Morning Star of Repentance,70-80 (75),https://i.imgur.com/3fJL0Ro.png
https://i.imgur.com/arF8c6b.png,13,Morning Star of Conjuration,75-85 (80),https://i.imgur.com/bbE1EQF.png
https://i.imgur.com/rdLEOPj.png,14,Morning Star of Reckoning,80-90 (85),https://i.imgur.com/oujvoL4.png
https://i.imgur.com/f1YZVsv.png,UT,Beekeeper’s Flamethrower,75-100 (87.5)Ignores defense of target,https://i.imgur.com/dMUzDhW.gif
https://i.imgur.com/JchRxMe.png,UT,Morning Star of Sweet Miracles,60-70 (65),https://i.imgur.com/ITWU5pr.gif
https://i.imgur.com/DOxS5yU.png,UT,Acidic Aspergillum,65-70 (67.5),https://i.imgur.com/La7fkWP.png
https://i.imgur.com/i9tqL3c.png,UT,Chocolate Ovipositor,65-70 (67.5),https://i.imgur.com/KGbBENt.png
https://i.imgur.com/hNkcj4e.png,UT,The North Star,70-80 (75),https://i.imgur.com/E2Ud1g9.png
https://i.imgur.com/1VHjQ62.png,UT,Obsidian Macuahuitl,70,https://i.imgur.com/L3ApSyi.png
https://i.imgur.com/LVaBoJt.png,UT,Morning Star of the Hero,75-85 (80),https://i.imgur.com/BmYqIfc.png
