Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/qohAPAQ.png,7,Spellblade of Decimation,Small: 50-75 (62.5)Large: 35-50 (42.5),https://i.imgur.com/r1kbyqq.png
https://i.imgur.com/ajB5etj.png,8,Spellblade of Nightmares,Small: 55-80 (67.5)Large: 40-55 (47.5),https://i.imgur.com/4FPaCDC.png
https://i.imgur.com/Qcm8i5c.png,9,Spellblade of Arcane Magic,Small: 55-85 (70)Large: 40-55 (47.5),https://i.imgur.com/WhpkbkV.png
https://i.imgur.com/OOZNU3A.png,10,Spellblade of Corrupt Premonitions,Small: 65-90 (77.5)Large: 50-65 (57.5),https://i.imgur.com/9OLwvq1.png
https://i.imgur.com/7brV6am.png,11,Spellblade of Starry Insight,Small: 65-95 (80)Large: 50-65 (57.5),https://i.imgur.com/JPy8E24.png
https://i.imgur.com/hQyNy8j.png,12,Spellblade of the Sun,Small: 80-95 (87.5)Large: 55-70 (62.5),https://i.imgur.com/r1kbyqq.png
https://i.imgur.com/eTvrJ3Y.png,13,Spellblade of the Heavens Light,Small: 80-105 (92.5)Large: 65-70 (67.5),https://i.imgur.com/ylNjU5K.png
https://i.imgur.com/WYFKLKN.png,14,Spellblade of the Everlasting Death,Small: 90-110 (100)Large: 65-80 (72.5),https://i.imgur.com/4FPaCDC.png
https://i.imgur.com/LFkrGDa.png,UT,Steam Pipe,Fire Drop: 50-65 (57.5)Ignores defense of targetWater Drop: 50-65 (57.5)Shots hit multiple targets+25 MP,https://i.imgur.com/k7r4ybM.png
https://i.imgur.com/gm0isXX.png,UT,Crystallized Worm Spellblade,Head: 30Tail: 60-75 (67.5),https://i.imgur.com/olzitgF.png
https://i.imgur.com/4PIEZSR.png,ST,Rocket Launcher,Small: 70-80 (75)Large: 85-100 (92.5),https://i.imgur.com/hAWK8Cx.png
https://i.imgur.com/2mBZxOe.png,UT,Love Heart Spellblade,Small: 65-95 (80)Large: 50-65 (57.5),https://i.imgur.com/wwNGK2k.png
https://i.imgur.com/pA8mcGH.png,UT,Snowblind Spellblade,Small: 80-95 (87.5)Large: 55-70 (62.5),https://i.imgur.com/iNwP34V.png
https://i.imgur.com/O1gC8mh.png,UT,Hovering Spellblade,Tip: 85-95 (90)Bullet: 55-75 (65),https://i.imgur.com/FXjj9dW.png
https://i.imgur.com/AIm1pqe.png,UT,Caramel Spellblade,Tip: 85-95 (90)Bullet: 55-75 (65),https://i.imgur.com/Wxeb0oW.gif
https://i.imgur.com/AqdjGYL.png,UT,Royal Sekhem,Small: 60-70 (65)Large: 80-100 (90),https://i.imgur.com/2Sqwjy1.gif
https://i.imgur.com/Dp5Pmda.png,UT,Hero’s Spellblade,Small: 80-105 (92.5)Large: 65-70 (67.5),https://i.imgur.com/TFKTVju.png
