Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/xu4bf9N.png,0,Short Sword,45-90 (67.5),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/y3E5UHN.png,1,Broad Sword,60-105 (82.5),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/SDzNxBA.png,2,Saber,75-105 (90),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/lGozrv2.png,3,Long Sword,75-120 (97.5),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/ufY0bzs.png,4,Falchion,75-135 (105),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/r3O4AA1.png,5,Fire Sword,90-135 (112.5),https://i.imgur.com/t3hNWhM.png
https://i.imgur.com/M2QjVYb.png,6,Glass Sword,110–160 (135),https://i.imgur.com/iz69Q5b.png
https://i.imgur.com/VzEzv5A.png,7,Golden Sword,150-180 (165),https://i.imgur.com/PpcgHRu.png
https://i.imgur.com/ki8bdZi.png,8,Ravenheart Sword,180-255 (217.5),https://i.imgur.com/kfNBtUp.png
https://i.imgur.com/napKeCf.png,9,Dragonsoul Sword,195-255 (225),https://i.imgur.com/iz69Q5b.png
https://i.imgur.com/0fQEDum.png,10,Archon Sword,210-255 (232.5),https://i.imgur.com/t3hNWhM.png
https://i.imgur.com/qK9nqSz.png,11,Skysplitter Sword,210-270 (240),https://i.imgur.com/MIlqFS5.png
https://i.imgur.com/QNbjO5z.png,12,Sword of Acclaim,220-275 (247.5),https://i.imgur.com/pB6GEKs.png
https://i.imgur.com/Klyve1D.png,13,Sword of Splendor,235-290 (262.5),https://i.imgur.com/BFi9Sbp.png
https://i.imgur.com/nvI2uq3.png,14,Sword of Majesty,250-305 (277.5),https://i.imgur.com/oUGsK20.png
https://i.imgur.com/fBucIXN.png,UT,MMace MMurderer,222-333 (277.5)Projectile Speed: 4Rate of Fire: 40%,https://i.imgur.com/yh1vHl2.png
https://i.imgur.com/ih0FMdh.png,UT,FFabulous FFlail,333Projectile Speed: 4Rate of Fire: 40%,https://i.imgur.com/MbTvwAb.png
https://i.imgur.com/028JOaR.png,UT,Vinesword,210-275 (240),https://i.imgur.com/gUDPyyK.png
https://i.imgur.com/A4fzD3u.png,UT,Crystal Sword,195–225 (210),https://i.imgur.com/dX4mVaG.png
https://i.imgur.com/egM20KP.png,UT,Arcane Rapier,165-220 (192.5)Projectile Speed: 20Shots hit multiple targetsShots boomerang,https://i.imgur.com/RepmVzu.png
https://i.imgur.com/ujkbpq7.png,UT,Henchman’s Claymore,75-105 (90)Projectile Speed: 8Wavy shotsRate of Fire: 110%,https://i.imgur.com/SPYCaKy.png
https://i.imgur.com/UcQg1tr.png,UT,Demon Blade,150-175 (162.5)Projectile Speed: 13,https://i.imgur.com/1fiwFna.png
https://i.imgur.com/qEH9QJi.png,UT,Spectral Sword,100-125 (112.5 / 225)Projectile Speed: 8Circular Motion after 0.44sTurns -90 / 90 degrees before circlingShots hit multiple targets+4 VIT,https://i.imgur.com/NKWDYZb.png
https://i.imgur.com/6OqxEzV.png,UT,Ancient Stone Sword,350–400 (375)Rate of Fire: 60%,https://i.imgur.com/Bclmqmx.png
https://i.imgur.com/WkV86TU.png,UT,Pirate King’s Cutlass,180-230 (205)Projectile Speed: 15Rate of Fire: 130%+3 SPD,https://i.imgur.com/lcawyFQ.png
https://i.imgur.com/zy2z5qT.png,UT,Acidic Slasher,350–400 (375)Rate of Fire: 60%,https://i.imgur.com/oKI2roJ.png
https://i.imgur.com/WpFzTRs.png,UT,Gaseous Glaive,180-230 (205)Projectile Speed: 15Rate of Fire: 130%+3 SPD,https://i.imgur.com/GpiAond.png
https://i.imgur.com/T3YizIo.png,UT,Pirate’s Artillery,50-777 (438.5)Projectile Speed: 10Rate of Fire: 25%Shots hit multiple targets,https://i.imgur.com/i2tjU68.png
https://i.imgur.com/u1d1yCc.png,UT,Sword of the Colossus,280-295 (287.5)Amplitude: 0.7Frequency: 0.5,https://i.imgur.com/lXiAGMB.png
https://i.imgur.com/iqtgZAF.png,UT,Divinity,275-325 (300)Projectile Speed: 15Rate of Fire: 60%,https://i.imgur.com/R9Jsw14.png
https://i.imgur.com/6zEtvgD.png,UT,Atavistic Soul Sabre,420-475 (447.5)Rate of Fire: 60%,https://i.imgur.com/DhMIQKh.png
https://i.imgur.com/ApqLTRS.png,ST,Pixie-Enchanted Sword,75-90 (82.5)Projectile Speed: 14,https://i.imgur.com/29OBsiD.png
https://i.imgur.com/BC8ab8F.png,ST,Heartsteel Claymore,Bullet 1: 325–375 (350)Rate of Fire: 60%Bullet 2: 150–200 (175)Rate of Fire: 20%Projectile Speed: 20Acceleration: -50 tiles/second2after 0 secondsMin Speed: 0 tiles/second,https://i.imgur.com/mBbWpIG.png
https://i.imgur.com/16T4Pfs.png,ST,Fallen One’s Blade,125–150 (137.5)Amplitude: 0.85,https://i.imgur.com/CE7FoHR.png
https://i.imgur.com/gdYJT99.png,ST,Oryx’s Greatsword,185-215 (200)Projectile Speed: 7Ignores defense of targetRate of Fire: 120%,https://i.imgur.com/z5qQAvA.png
https://i.imgur.com/F1N1mS0.png,ST,Indomptable,550–600 (575)Projectile Speed: 8Shots hit multiple targetsRate of Fire: 33%,https://i.imgur.com/S0uIAYp.png
https://i.imgur.com/bxx3q1x.png,ST,Swashbuckler’s Sickle,275–280 (277.5)Projectile Speed: 9Wavy shotsRate of Fire: 80%,https://i.imgur.com/FuodqLr.png
