Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/bhc0Pvo.png,0,Fire Wand,30-55 (42.5),https://i.imgur.com/xRGGymv.png
https://i.imgur.com/HuilagT.png,1,Force Wand,40-70 (55),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/M4uBwyT.png,2,Power Wand,45-80 (62.5),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/ZpMPFZw.png,3,Missile Wand,50-85 (67.5),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/zDO30rU.png,4,Eldritch Wand,65-95 (80),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/DV8w1jy.png,5,Hell’s Fire Wand,80-110 (95),https://i.imgur.com/bdEBOo7.png
https://i.imgur.com/Lvy7lyj.png,6,Wand of Dark Magic,95-125 (110),https://i.imgur.com/85R2U4b.png
https://i.imgur.com/LJrFzn7.png,7,Wand of Arcane Flame,110-140 (125),https://i.imgur.com/xRGGymv.png
https://i.imgur.com/zINpMRA.png,8,Wand of Death,115-155 (135),https://i.imgur.com/TbCkd0Q.png
https://i.imgur.com/7cEhpl8.png,9,Wand of Deep Sorcery,120-160 (140),https://i.imgur.com/bdEBOo7.png
https://i.imgur.com/ViSiggA.png,10,Wand of Shadow,125-165 (145),https://i.imgur.com/xRGGymv.png
https://i.imgur.com/2idkCvn.png,11,Wand of Ancient Warning,125-170 (147.5),https://i.imgur.com/TbCkd0Q.png
https://i.imgur.com/YdwFDes.png,12,Wand of Recompense,130-175 (152.5),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/KYUtu2U.png,13,Wand of Evocation,145-180 (162.5),https://i.imgur.com/V3Vg0N7.png
https://i.imgur.com/2aaPhRF.png,14,Wand of Retribution,150-195 (172.5),https://i.imgur.com/zfAr4ZW.png
https://i.imgur.com/MkhMJy0.png,UT,Sprite Wand,10-290 (150)Amplitude: 1Frequency: 1,https://i.imgur.com/5zUyEjM.gif
https://i.imgur.com/wB4ufJ9.png,UT,Caduceus of Current Craziness,65-90 (77.5)Projectile Speed: 17Shots hit multiple targets,https://i.imgur.com/7v8WP8E.gif
https://i.imgur.com/UdSqW1n.png,UT,Caduceus Of Enlightened Chaos,100-125 (112.5)Projectile Speed: 17Shots hit multiple targetsRate of Fire: 80%,https://i.imgur.com/XufMRZT.png
https://i.imgur.com/eIwOcdN.png,UT,St. Abraham’s Wand,"125-150 (137.5)Projectile Speed: 15Shots hit multiple targets+4 VIT, +4 WIS",https://i.imgur.com/Kv4XMlW.png
https://i.imgur.com/TDqHncT.png,UT,Wand of Budding Romance,125-170 (147.5)Shots hit multiple targets,https://i.imgur.com/eZeGeJK.png
https://i.imgur.com/k6tGqcD.png,UT,Crystal Wand,105–150 (127.5)Projectile Speed: 15Ignores defense of targetRate of Fire: 110%,https://i.imgur.com/pkTL5C6.png
https://i.imgur.com/yVh0pj9.png,UT,Wand of Hidden Knowledge,"185-215 (200)If the bearer hasCursewhile using the Wand of Hidden Knowledge, they gain extra projectiles.Burst Count:5Burst Delay:1Minimum Burst Delay0.6Shots hit multiple targetsRate of Fire: 130%+3 SPD, +4 WIS",https://i.imgur.com/2AJD79X.png
https://i.imgur.com/AXJZGH1.png,UT,Tyrant’s Wand,50-75 (62.5)Projectile Speed: 6.5Shots hit multiple targets,https://i.imgur.com/JnkESh3.png
https://i.imgur.com/FVbME6f.png,UT,Wand of the Bulwark,500-600 (550)Projectile Speed: 0.3Shots are parametricShots pass through obstaclesShots hit multiple targetsRate of Fire: 33%,https://i.imgur.com/27HWaTz.png
https://i.imgur.com/Y0owA0u.png,UT,Wand of the Fallen,205–240 (222.5)Projectile Speed: 14.4Rate of Fire: 85%,https://i.imgur.com/1iWByxs.gif
https://i.imgur.com/No94h3g.png,UT,Conducting Wand,"100-175 (137.5)Projectile Speed: 17Rate of Fire: 125%+4 DEX, +4 WIS",https://i.imgur.com/7tFUpuM.png
https://i.imgur.com/dBfapRh.png,UT,Soul’s Guidance,115-165 (140)Projectile Speed: 20Amplitude: 0.7Frequency: 2Shots hit multiple targets,https://i.imgur.com/0Q5QYM2.png
https://i.imgur.com/oHxRWib.png,UT,Warlord Wand,105–150 (127.5)Projectile Speed: 15Ignores defense of targetRate of Fire: 110%,https://i.imgur.com/FEhpgOd.png
https://i.imgur.com/uMVLXLF.png,UT,Snowblind Wand,205–240 (222.5)Projectile Speed: 14.4Rate of Fire: 85%,https://i.imgur.com/UF1coU7.png
https://i.imgur.com/HXfa14k.png,UT,Deliverance,115-165 (140)Projectile Speed: 20Amplitude: 0.6Frequency: 2Shots hit multiple targets+6 WIS,https://i.imgur.com/prMOlo3.gif
https://i.imgur.com/UpZbVW1.png,UT,Laser Pointer,Main: 95-130 (112.5)Projectile Speed: 22Ignores defense of targetRate of Fire: 150%Sub: 50-75 (62.5)Projectile Speed: 10Shots hit multiple targetsRate of Fire: 50%,https://i.imgur.com/3tCMfDu.png
https://i.imgur.com/RapQgYB.png,UT,Dusky Catalyst,90-125 (107.5)Projectile Speed: 18Wavy shotsShots hit multiple targets+5 WIS,https://i.imgur.com/xRpTo63.png
https://i.imgur.com/TSJk1lI.png,UT,Fortitude,"300-700 (500)On Ability: Releases 3 rings of lingering bullets, each dealing 300-600 damageShots hit multiple targetsShots pass through obstaclesRate of Fire: 33%",https://i.imgur.com/lBo8zHy.png
https://i.imgur.com/XTQGS8H.png,UT,Lumiaire,80–100 (90)Projectile Speed: 5Amplitude: 0.5Frequency: 1.5Rate of Fire: 150%,https://i.imgur.com/SrRXPnE.gif
https://i.imgur.com/OHWmiEq.png,ST,Cane of Caduceus,Plague Orb: 42-78 (60)Shots hit multiple targetsPlague Snake: 105-135 (120)Rate of Fire: 40%Ignores defense of target,https://i.imgur.com/JaYgqYl.png
https://i.imgur.com/uKYy07l.png,ST,Wand of Geb,140-150 (145)Projectile Speed: 14Releases a slowing nova on shootShots hit multiple targets,https://i.imgur.com/C3TxXma.png
https://i.imgur.com/cK4sP1y.png,ST,Abomination’s Wrath,300-335 (317.5)Projectile Speed: 11Rate of Fire: 55%,https://i.imgur.com/rM9sLcY.png
https://i.imgur.com/VNtvpGn.png,ST,Lightning Wand,44-444 (244)Projectile Speed: 5Shots hit multiple targetsAcceleration: 30 tiles/second2(delay: 0.1s)Speed Clamp: 40 tiles/secondRate of Fire: 60%,https://i.imgur.com/24jaWFe.png
https://i.imgur.com/MXCwB0U.png,ST,Magic Wand,65-165 (115)Projectile Speed: 24Shots hit multiple targetsShots pass through obstaclesShots boomerangRate of Fire: 150%,https://i.imgur.com/6TKHVkd.gif
https://i.imgur.com/IiDnLz1.png,ST,Theurgy Wand,125-130 (127.5)Projectile Speed: 20Amplitude: 0.1Frequency: 0.1Wavy shotsShots hit multiple targetsRate of Fire: 75%,https://i.imgur.com/IeHanaC.png
https://i.imgur.com/QhCXx6o.png,ST,C.L.A.W.,80-110 (175)Projectile Speed: 18Acceleration: ? (delay: ?)Speed Clamp: ?Amplitude: ?Frequency: 1,https://i.imgur.com/u7iQn7D.png
https://i.imgur.com/GJgV4uh.png,ST,Earthen Ward,125–145 (135)Projectile Speed: 18Circle Turn Angle: 90Circle Turn Delay: 3.33Shots hit multiple targetsShots pass through obstacles,https://i.imgur.com/ehDiHlJ.png
https://i.imgur.com/VO89Y2E.png,UT,Spicy Wand of Spice,30-50 (40)Projectile Speed: 13Wavy shots,https://i.imgur.com/8itXh7K.png
https://i.imgur.com/yuauQou.png,UT,Lethargic Sentience,20-40 (30)Projectile Speed: 1.25Shots are parametricShots pass through obstaclesRate of Fire: 25%,https://i.imgur.com/6tez95C.gif
https://i.imgur.com/1WdO6rX.png,UT,Rainbow Rod,20-30 (25)Projectile Speed: 6.5Shots hit multiple targetsShots pass through obstaclesRate of Fire: 150%,https://i.imgur.com/eIoZjCL.gif
https://i.imgur.com/qXeCtV5.png,UT,Wand of Ancient Terror,95-135 (115)Shots hit multiple targets,https://i.imgur.com/WqnpxnS.png
https://i.imgur.com/g1RA2ys.png,UT,Present Dispensing Wand,95-135 (115)Shots hit multiple targets,https://i.imgur.com/0a2xEhR.gif
https://i.imgur.com/9pqn1Vy.png,UT,Wand of Egg-cellence,95-135 (115)Shots hit multiple targets,https://i.imgur.com/k8IXWT2.gif
https://i.imgur.com/iKrQvOb.png,UT,Winter’s Breath Wand,130-175 (152.5)Shots hit multiple targets,https://i.imgur.com/tx6kUSP.gif
https://i.imgur.com/CkDL6Kx.png,UT,Frozen Wand,105–150 (127.5)Projectile Speed: 15Ignores defense of targetRate of Fire: 110%,https://i.imgur.com/e0QHoAx.png
https://i.imgur.com/ztHFQrR.png,UT,Aspirant’s Wand,175-215 (195)Projectile Speed: 18Rate of Fire: 80%,https://i.imgur.com/29xQbsz.png
https://i.imgur.com/UIaFHVm.png,UT,Measuring Wand,130-175 (152.5)Shots hit multiple targets+2 VIT,https://i.imgur.com/cMNCwDY.png
https://i.imgur.com/cgxaGpG.png,UT,Wand of the Summoned One,130-175 (152.5)Shots hit multiple targets+2 ATT,https://i.imgur.com/kAFYv5m.gif
https://i.imgur.com/lB8q9r3.png,UT,Eternal Snowflake Wand,500-600 (550)Projectile Speed: 0.3Shots are parametricShots pass through obstaclesShots hit multiple targetsRate of Fire: 33%,https://i.imgur.com/Dw8IR5t.png
https://i.imgur.com/fnRY87t.png,UT,Brass Chamberstick,95-125 (110)Projectile Speed: 14Acceleration: -30 (delay: 0.5)Speed Clamp: 1Burst Count: 2Burst Delay: 0.8Minimum Burst Delay: 0.4Shots hit multiple targetsRate of Fire: 150%,https://i.imgur.com/DzgHymY.png
https://i.imgur.com/OrnSkwT.png,UT,Temporal Wand,145-180 (162.5),https://i.imgur.com/0W44GTe.png
https://i.imgur.com/s9DKEli.png,UT,Eternal Bloom Staff,145-180 (162.5),https://i.imgur.com/id4GVq3.png
