Image link,Tier,Name,ATT,DEF,SPD,DEX,VIT,WIS,HP,MP,XP Bonus,Feed Power
https://i.imgur.com/wkps3sv.png,0,Wolfskin Armor,,+5,,,,,,,,5
https://i.imgur.com/GWTJIDr.png,1,Leather Armor,,+6,,,,,,,,7
https://i.imgur.com/RVdhBNc.png,2,Basilisk Hide Armor,,+7,,,,,,,,11
https://i.imgur.com/70gbfUC.png,3,Minotaur Hide Armor,,+8,,+2,,,,,,15
https://i.imgur.com/MRNttpe.png,4,Bearskin Armor,,+9,,+2,,,,,,20
https://i.imgur.com/LU1C9X5.png,5,Chimera Hide Armor,,+10,,+2,,,,,,29
https://i.imgur.com/PxHUdmX.png,6,Wyvern Skin Armor,,+12,,+2,,,,,,41
https://i.imgur.com/zjzdIaf.png,7,Studded Leather Armor,,+13,,+3,,,,,1%,58
https://i.imgur.com/ntqPy3L.png,8,Drake Hide Armor,,+14,,+3,,,,,2%,83
https://i.imgur.com/xQ3ZKcj.png,9,Roc Leather Armor,,+15,,+4,,,,,3%,116
https://i.imgur.com/yFHXsnA.png,10,Hippogriff Hide Armor,,+16,,+4,,,,,4%,164
https://i.imgur.com/5lKzW3e.png,11,Griffon Hide Armor,,+17,,+4,,,,,5%,231
https://i.imgur.com/Wvu0LU7.png,12,Hydra Skin Armor,,+17,,+5,,,,,6%,435
https://i.imgur.com/eBFa5Kx.png,13,Wyrmhide Armor,,+19,,+6,,,,,7%,650
https://i.imgur.com/uvR1Gd4.png,14,Leviathan Armor,,+21,,+7,,,,,8%,950
https://i.imgur.com/pO23X79.png,UT,Cheater Light Armor,,,,,,,-100,,,300
https://i.imgur.com/g1QQ6Ee.png,UT,Snakeskin Armor,,+11,+4,+3,,,,,2%,120
https://i.imgur.com/uJhfN6g.png,UT,Spectral Cloth Armor,+3,+14,+3,+3,,,,,5%,650
https://i.imgur.com/cV2muQj.png,UT,Blue Beehemoth Armor,,+17,+5,,,,,,6%,650
https://i.imgur.com/InPgMzU.png,UT,Red Beehemoth Armor,,+17,+5,,,,,,6%,650
https://i.imgur.com/lZCU4nx.png,UT,Yellow Beehemoth Armor,,+17,+5,,,,,,6%,650
https://i.imgur.com/Y341Xyh.png,UT,Greaterhosen,+15,+15,,-7,+8,,,,6%,650
https://i.imgur.com/nlshYfC.png,UT,Coral Silk Armor,,+16,+3,+4,,,,,6%,700
https://i.imgur.com/Wn4vs1y.png,UT,Harlequin Armor,,+14,+3,,,+5,,+80,6%,700
https://i.imgur.com/voSE8ih.png,UT,Leaf Dragon Hide Armor,,+13,+6,,+5,,+50,,6%,700
https://i.imgur.com/oMNFUKj.png,UT,Fitted Protective Matrix,,+15,,,,,,,6%,750
https://i.imgur.com/rbYn4hR.png,UT,Light Syndicate Attire,,+17,,+6,,+6,,,6%,750
https://i.imgur.com/QAPSCLF.png,UT,Squadron Sheathing,,+14,,+5,,,,,6%,750
https://i.imgur.com/Ibo3Eav.png,UT,Ethereal Happi,,+15,+15,,,,,,7%,950
https://i.imgur.com/TrBD6RC.png,UT,Cackling Straitjacket,+20,+15,-5,-5,,,,,7%,"1,000"
https://i.imgur.com/l7uFrzx.png,UT,Armor of Nil,,+30,-5,,,,,,7%,"1,100"
https://i.imgur.com/VEsxfR3.png,UT,Vest of Abandoned Shadows,,+15,,,+15,,+50,,8%,900
https://i.imgur.com/V3W2Yw5.png,UT,Turncoat Cape,,+18,+10,,,,,,8%,"1,100"
https://i.imgur.com/VWggonC.png,UT,Centaur’s Shielding,+5,+13,,+7,,,,,8%,"1,100"
https://i.imgur.com/ig7UOnq.png,ST,Luxurious Leather,,+1,,,,,,,5%,0
https://i.imgur.com/Q1YO3pa.png,ST,Apiary Armor,+3,+17,+3,,,,,,6%,500
https://i.imgur.com/nKV3OUM.png,ST,Wedding Dress,,+16,,+3,+3,,,,6%,500
https://i.imgur.com/aVqUiHI.png,ST,Hollyhock Hide,,+10,+3,+8,+5,,,,6%,600
https://i.imgur.com/8emGR5B.png,ST,Hirejou Tenne,+8,+9,,+8,,,,,6%,650
https://i.imgur.com/g3K5moJ.png,ST,Divination Cloak,,+15,,+5,,,,+50,6%,650
https://i.imgur.com/gWlQmMS.png,ST,Wraith’s Brigandine,,+14,,,,,+80,,6%,700
https://i.imgur.com/rCC0ZPH.png,ST,Rags of the Host,+6,+17,,,-4,,,,6%,700
https://i.imgur.com/2MAkZbN.png,ST,Acidic Armor,,+15,-5,,+5,,+30,+30,6%,700
https://i.imgur.com/f53gvJM.png,ST,Golem Garments,+8,+14,,,+7,,,,6%,700
https://i.imgur.com/2hKZRHq.png,ST,Seraphim’s Guard,,+15,,,+7,+7,,+50,6%,700
https://i.imgur.com/RwQiwp1.png,ST,Ornate Armor,,+15,,,+10,,,,6%,700
https://i.imgur.com/fSu8aoJ.png,ST,Tinkerers Apron,,+16,+4,,,,,+80,6%,700
https://i.imgur.com/qUnenkk.png,ST,Mantle of Skuld,,+9,,,,+8,,+120,6%,750
https://i.imgur.com/8cUpJDB.png,ST,Hallowed Hide,+5,+13,,,,,+30,,6%,750
https://i.imgur.com/J1iS7QS.png,ST,Luminous Armor,,,+5,,+5,,+200,,6%,800
https://i.imgur.com/oPOcdeO.png,ST,Alchemist’s Disheveled Garbs,+6,+12,+5,,,,,,6%,850
https://i.imgur.com/1xyvhCA.png,ST,Gravetender’s Vest,,,-5,,,,,,6%,850
https://i.imgur.com/9J1Muiu.png,UT,Frost Drake Hide Armor,,+17,,+5,,,,,6%,435
https://i.imgur.com/MtYKbbc.png,UT,Splatter-proof Apron,+2,+18,,+5,,,,,6%,435
https://i.imgur.com/xaU6fkO.png,UT,Eggshell Carapace,,+16,,+6,,,+30,,6%,435
https://i.imgur.com/AquDeej.png,UT,Bachelor’s Tuxedo,,+14,,+8,,+8,,,6%,600
https://i.imgur.com/92Uf28E.png,UT,Haori of the Wind,+9,+13,+10,,,,,,6%,600
https://i.imgur.com/HOMhTiT.png,UT,Chocolate Armor,+15,+15,,-7,+8,,,,6%,650
https://i.imgur.com/YeqSZcw.png,UT,Pirate Queen’s Brigandine,,+17,,+5,,,,,7%,231
https://i.imgur.com/is7ak3B.png,UT,Shadowbeast Hide,,+17,,+5,,,+20,,7%,231
https://i.imgur.com/ikKJh2q.png,UT,Fitted Construction Vest,,+17,,+5,+4,,,,7%,435
https://i.imgur.com/Ydumbso.png,UT,Temperate Curiass,,+19,,+6,,,,,7%,650
https://i.imgur.com/UFazZUZ.png,UT,Jacket Of Blossoms,,+19,,+6,,,,,7%,650
https://i.imgur.com/BLC6rtl.png,UT,Aspirant’s Hide,,+14,,+5,,,+25,,7%,900
https://i.imgur.com/Z1TfZ7O.png,UT,Vest of Abandoned Shadows (Rehearsal),,+15,,,+15,,+50,,7%,900
https://i.imgur.com/ucYEvNq.png,ST,Metal-plated Corset,,+10,+3,+8,+5,,,,6%,600
https://i.imgur.com/MqxWVUk.png,ST,Daopao,+8,+9,,+8,,,,,6%,650
https://i.imgur.com/zMGZfSh.png,ST,Torso Tunic,,+14,,,,,+80,,6%,700
https://i.imgur.com/ADOwAMM.png,ST,Withered Poncho,+8,+14,,,+7,,,,6%,700
https://i.imgur.com/ay3VsKy.png,ST,Cupid’s Garments,,+16,+3,+4,,,,,6%,700
https://i.imgur.com/8iaVlAa.png,ST,Painted Eggshell Armor,,+15,,,+10,,,,6%,700
https://i.imgur.com/qUnenkk.png,ST,Legacy Mantle of Skuld,,+12,,,,,+25,+10,7%,500
