Image link,Tier,Name,ATT,DEF,SPD,DEX,VIT,WIS,HP,MP,XP Bonus,Feed Power
https://i.imgur.com/20Ii3IY.png,0,Robe of the Neophyte,,+2,,,,,,,,5
https://i.imgur.com/sNS5BNw.png,1,Robe of the Apprentice,,+3,,,,+1,,,,7
https://i.imgur.com/ub0Iy1l.png,2,Robe of the Acolyte,,+4,,,,+1,,+10,,11
https://i.imgur.com/BodV2pv.png,3,Robe of the Student,,+4,,,,+2,,+15,,15
https://i.imgur.com/8ZkSvxk.png,4,Robe of the Conjurer,,+6,,,,+2,,+20,,20
https://i.imgur.com/UmKTgE2.png,5,Robe of the Adept,,+7,,,,+3,,+25,,29
https://i.imgur.com/gVxoYgC.png,6,Robe of the Invoker,,+8,,,,+3,,+30,,41
https://i.imgur.com/EfHAO1e.png,7,Robe of the Illusionist,+1,+8,,,,+4,,+35,1%,58
https://i.imgur.com/80mLJAO.png,8,Robe of the Master,+2,+9,,,,+5,,+40,2%,83
https://i.imgur.com/oVSxzfp.png,9,Robe of the Shadow Magus,+2,+10,,,,+5,,+45,3%,116
https://i.imgur.com/pKZpj6a.png,10,Robe of the Moon Wizard,+3,+11,,,,+6,,+50,4%,164
https://i.imgur.com/qvD85dq.png,11,Robe of the Elder Warlock,+3,+12,,,,+6,,+50,5%,231
https://i.imgur.com/Oup28jC.png,12,Robe of the Grand Sorcerer,+4,+13,,,,+6,,+55,6%,435
https://i.imgur.com/TfNgqCU.png,13,Robe of the Star Mother,+5,+15,,,,+7,,+65,7%,650
https://i.imgur.com/FFK4t7E.png,14,Robe of the Ancient Intellect,+6,+17,,,,+8,,+75,8%,950
https://i.imgur.com/ynuIjEw.png,UT,Cheater Robe,,,,,,,-100,,,300
https://i.imgur.com/OBwU698.png,UT,Robe of the Tlatoani,,,,,,+8,,+90,2%,200
https://i.imgur.com/XaN7pD8.png,UT,Woodland Robe,,+10,+3,+4,,,,,3%,275
https://i.imgur.com/fU9PIix.png,UT,Chasuble of Holy Light,,+10,,,+5,+5,+20,+20,4%,450
https://i.imgur.com/JciwcUX.png,UT,Tlatoani’s Shroud,,,,,,+16,,+180,4%,500
https://i.imgur.com/SwTLhZA.png,UT,Robe of the Mad Scientist,,+12,,,+5,+5,,,6%,700
https://i.imgur.com/gqVpc9Y.png,UT,Water Dragon Silk Robe,+6,+13,+6,,+5,,,,6%,700
https://i.imgur.com/HvQjLza.png,UT,Magic Protective Matrix,,+10,,,,,,,6%,750
https://i.imgur.com/MNfcYmP.png,UT,Mystic Syndicate Attire,+6,+12,,,,+6,,,6%,750
https://i.imgur.com/w7qdqJK.png,UT,Judge’s Robe,+3,+11,,,,+8,,+60,6%,750
https://i.imgur.com/V8pfKqe.png,UT,Esben’s Shaman Attire,+6,+10,,,,,+60,,6%,800
https://i.imgur.com/Uqpyd1h.png,UT,Flowering Kimono,,+10,+7,,,+12,,+120,7%,950
https://i.imgur.com/6xvCEdy.png,UT,Wretched Rags,,+10,,+5,,+10,,,7%,"1,000"
https://i.imgur.com/ymPfzOk.png,UT,Ritual Robe,+5,+12,,,,+20,,+50,7%,"1,100"
https://i.imgur.com/55XhhEw.png,UT,Mantle of the Monarchy,,+10,,,+20,,+40,+40,8%,900
https://i.imgur.com/hHyzrLB.png,UT,Diplomatic Robe,+10,+11,,,,,+50,,8%,"1,100"
https://i.imgur.com/QjfsjIn.png,UT,Vesture of Duality,+5,+12,+5,,,,,+40,8%,"1,100"
https://i.imgur.com/WX5SrGh.png,ST,Wind Dancer Robe,,+13,+7,+5,,,,,5%,700
https://i.imgur.com/qP3WoFt.png,ST,Rocky Robe,,+20,,-5,+4,,,,5%,900
https://i.imgur.com/cBqzNOn.png,ST,Garment of the Beast,+4,+10,+5,,,+5,+50,,6%,600
https://i.imgur.com/g82jCDD.png,ST,Shendyt of Geb,,+15,,,+7,+7,+25,+25,6%,650
https://i.imgur.com/ArH5HNT.png,ST,Doctor’s Overcoat,,+14,,+5,,+7,,,6%,650
https://i.imgur.com/luHAGXb.png,ST,Soulless Robe,,+15,,,,,+60,,6%,700
https://i.imgur.com/fPWPi90.png,ST,Polygonal Garbs,,+10,,+5,,,+30,,6%,700
https://i.imgur.com/fYkRPFo.png,ST,Toga Picta,+10,+13,,-4,+4,,,+35,6%,750
https://i.imgur.com/lt7Pwgo.png,ST,Thunderstorm Tunic,+5,+13,+5,,,,,+30,6%,750
https://i.imgur.com/zoa6DFD.png,ST,Anointed Robe,+4,+13,,+3,-3,+2,,+20,6%,800
https://i.imgur.com/Wwwi1lA.png,ST,Molten Mantle,+3,+12,+3,,,,,+80,6%,800
https://i.imgur.com/LOQNZFI.png,ST,Magician’s Robe,,+12,,+6,,+6,+30,-50,6%,800
https://i.imgur.com/J98NxR2.png,ST,Oceanic Apparel,,+8,+8,,,,+55,,6%,800
https://i.imgur.com/SnvaFhz.png,ST,Blast Proof Robes,,+10,,+2,,,+70,,6%,800
https://i.imgur.com/1jKG8hb.png,ST,Ragged Robes,+3,+11,,+5,,,,,6%,850
https://i.imgur.com/sDrDmCT.png,ST,Twilight Shroud,,+10,+5,,,,+60,+50,6%,850
