Image link,Enchantment Name,Eligible Items,Effect(s) I / II / III / IV,Enchantment Labels,Incompatible Labels
//i.imgur.com/OzvjBWH.png,MP Cost Reduction,ABILITY ,4%/6%/8%/10% Reduced MP Cost,CASTING MPCOSTREDUCTION,MPCOSTREDUCTION STATMODMULT
//i.imgur.com/OzvjBWH.png,Stat Mod Multiplier,ABILITY ,Increases Stat Mod value for this ability by +8%/12%/16%/20%,CASTING STATMODMULT,MPCOSTREDUCTION STATMODMULT
//i.imgur.com/tj3pPHL.png,Flat Mana Regeneration,ABILITY RING ,"Increases Mana regen by 2/3/4/5 per second, Doubled while out of combat",MANAREGEN FLATREGEN,MANAREGEN
//i.imgur.com/tj3pPHL.png,Percentage Mana Regeneration,ABILITY RING ,"Increases Mana regen by .75%/1%/1.25%/1.5% of your maximum MP per second, Doubled while out of combat",MANAREGEN PERCENTAGEREGEN,MANAREGEN
//i.imgur.com/3vwv7MR.png,OnAbility Attack Boost,ABILITY RING,"30% chance on Ability Use, gain +5/6/7/8 ATT for 8 Seconds, 15 Seconds Cooldown",ONABILITY ONABILITYSTAT PROC STATBOOST ATTACK PROCATTACK,ONABILITYSTAT PROCATTACK
//i.imgur.com/3vwv7MR.png,OnAbility Defense Boost,ABILITY RING,"30% chance on Ability Use, gain +7/8/9/10 DEF for 8 Seconds, 15 Seconds Cooldown",ONABILITY ONABILITYSTAT PROC STATBOOST DEFENSE PROCDEFENSE,ONABILITYSTAT PROCDEFENSE
//i.imgur.com/3vwv7MR.png,OnAbility Dexterity Boost,ABILITY RING ,"30% chance on Ability Use, gain +5/6/7/8 DEX for 8 Seconds, 15 Seconds Cooldown",ONABILITY ONABILITYSTAT PROC STATBOOST DEXTERITY PROCDEXTERITY,ONABILITYSTAT PROCDEXTERITY
//i.imgur.com/3vwv7MR.png,OnAbility Vitality Boost,ABILITY RING ,"30% chance on Ability Use, gain +7/8/9/10 VIT for 8 Seconds, 15 Seconds Cooldown",ONABILITY ONABILITYSTAT PROC STATBOOST VITALITY PROCVITALITY,ONABILITYSTAT PROCVITALITY
//i.imgur.com/3vwv7MR.png,OnAbility Wisdom Boost,ABILITY RING,"30% chance on Ability Use, gain +7/8/9/10 WIS for 8 Seconds, 15 Seconds Cooldown",ONABILITY ONABILITYSTAT PROC STATBOOST WISDOM PROCWISDOM,ONABILITYSTAT PROCWISDOM
//i.imgur.com/3vwv7MR.png,OnAbility Heal,ABILITY RING ,"30% chance on Ability Use, while below 90% HP to heal 20/30/40/50 HP, 15 Seconds Cooldown",RECOVERY ONABILITY PROC HEAL,HEAL
//i.imgur.com/3vwv7MR.png,OnAbility Magic,ABILITY RING ,"30% chance on Ability Use, while below 90% MP to heal 20/30/40/50 MP, 15 Seconds Cooldown",RECOVERY ONABILITY PROC MAGIC,MAGIC
//i.imgur.com/cvKGZ1T.png,Flat Life Regeneration,ARMOR RING ,"Increases Life regen by 4/6/8/10 per second, Doubled while out of combat  ",RECOVERY LIFEREGEN FLATREGEN,LIFEREGEN
//i.imgur.com/cvKGZ1T.png,Percentage Life Regeneration,ARMOR RING ,"Increases Life regen by .5%/.75%/1%/1.25% of your maximum HP per second, Doubled while out of combat  ",RECOVERY LIFEREGEN PERCENTAGEREGEN,LIFEREGEN
//i.imgur.com/3vwv7MR.png,OnHit Attack Boost,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain +5/6/7/8 ATT for 12 Seconds, 15 Seconds Cooldown",ONHIT ONHITSTAT PROC STATBOOST ATTACK PROCATTACK,ONHITSTAT PROCATTACK
//i.imgur.com/3vwv7MR.png,OnHit Defense Boost,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain +7/8/9/10 DEF for 12 Seconds, 15 Seconds Cooldown",ONHIT ONHITSTAT PROC STATBOOST DEFENSE PROCDEFENSE,ONHITSTAT PROCDEFENSE
//i.imgur.com/3vwv7MR.png,OnHit Dexterity Boost,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain +5/6/7/8 DEX for 12 Seconds, 15 Seconds Cooldown",ONHIT ONHITSTAT PROC STATBOOST DEXTERITY PROCDEXTERITY,ONHITSTAT PROCDEXTERITY
//i.imgur.com/3vwv7MR.png,OnHit Vitality Boost,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain +7/8/9/10 VIT for 12 Seconds, 15 Seconds Cooldown",ONHIT ONHITSTAT PROC STATBOOST VITALITY PROCVITALITY,ONHITSTAT PROCVITALITY
//i.imgur.com/3vwv7MR.png,OnHit Wisdom Boost,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain +7/8/9/10 WIS for 12 Seconds, 15 Seconds Cooldown",ONHIT ONHITSTAT PROC STATBOOST WISDOM PROCWISDOM,ONHITSTAT PROCWISDOM
//i.imgur.com/3vwv7MR.png,OnHit Heal,ARMOR RING ,"50% chance on Hit for atleast 20 Damage while below 90% HP to heal 20/30/40/50 HP, 15 Seconds Cooldown",RECOVERY ONHIT PROC HEAL,HEAL
//i.imgur.com/3vwv7MR.png,OnHit Magic,ARMOR RING ,"50% chance on Hit for atleast 20 Damage, gain while below 90% MP to heal 20/30/40/50 MP, 15 Seconds Cooldown",RECOVERY ONHIT PROC MAGIC,MAGIC
//i.imgur.com/3vwv7MR.png,OnHit Berserk,ARMOR RING ,"20%/25%/30%/35% chance on Hit for atleast 20 Damage, gain Berserk for 4/5/6/7 seconds, 20 Seconds Cooldown",ONHIT PROC BERSERK,BERSERK
//i.imgur.com/3vwv7MR.png,OnHit Armored,ARMOR RING ,"20%/25%/30%/35% chance on Hit for atleast 20 Damage, gain Armored for 4/5/6/7 seconds, 20 Seconds Cooldown",ONHIT PROC ARMORED,ARMORED
//i.imgur.com/3vwv7MR.png,OnHit Damaging,ARMOR RING ,"20%/25%/30%/35% chance on Hit for atleast 20 Damage, gain Damaging for 4/5/6/7 seconds, 20 Seconds Cooldown",ONHIT PROC DAMAGING,DAMAGING
//i.imgur.com/3vwv7MR.png,OnHit Energized,ARMOR RING ,"20%/25%/30%/35% chance on Hit for atleast 20 Damage, gain Energized for 4/5/6/7 seconds, 20 Seconds Cooldown",RECOVERY ONHIT PROC ENERGIZED,ENERGIZED
//i.imgur.com/3vwv7MR.png,OnHit Healing,ARMOR RING ,"20%/25%/30%/35% chance on Hit for atleast 20 Damage, gain Healing for 4/5/6/7 seconds, 20 Seconds Cooldown",RECOVERY ONHIT PROC HEALING,HEALING
//i.imgur.com/3vwv7MR.png,OnHit Retaliation,ARMOR RING ,"20%/30%/40%/50% chance on Hit for atleast 20 Damage, Retaliate with a 950/1100/1250/1400 damage projectile, 3 Seconds Cooldown",DAMAGE ONHIT PROC BULLETCREATE,BULLETCREATE
//i.imgur.com/I0DdmsO.png,Attack Defense Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.7/1.1/1.5/1.9 DEF,DUALSTAT ATTACK DEFENSE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Dexterity Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.7/1.1/1.5/1.9 DEX,DUALSTAT ATTACK DEXTERITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Mana Bonus,ALL,+.7/1.1/1.5/1.9 ATT +10/15/20/25 MP,DUALSTAT ATTACK MANA FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Life Bonus,ALL,+.7/1.1/1.5/1.9 ATT +7.5/10/12.5/15 HP,DUALSTAT ATTACK LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Speed Bonus,ALL,+.7/1.1/1.5/1.9 ATT +1.1/1.7/2.3/2.9 SPD,DUALSTAT ATTACK SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Vitality Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.9/1.4/1.9/2.4 VIT,DUALSTAT ATTACK VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Wisdom Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.9/1.4/1.9/2.4 WIS,DUALSTAT ATTACK WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Dexterity Bonus,ALL,+.7/1.1/1.5/1.9 DEF +.7/1.1/1.5/1.9 DEX,DUALSTAT DEFENSE DEXTERITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Mana Bonus,ALL,+.7/1.1/1.5/1.9 DEF +10/15/20/25 MP,DUALSTAT DEFENSE MANA FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Life Bonus,ALL,+.7/1.1/1.5/1.9 DEF +7.5/10/12.5/15 HP,DUALSTAT DEFENSE LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Speed Bonus,ALL,+.7/1.1/1.5/1.9 DEF +1.1/1.7/2.3/2.9 SPD ,DUALSTAT DEFENSE SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Vitality Bonus,ALL,+.7/1.1/1.5/1.9 DEF +.9/1.4/1.9/2.4 VIT ,DUALSTAT DEFENSE VITALITY FLATBONUS,DUALSTAT
