Image link,Enchantment Name,Eligible Items,Effect(s) I / II / III / IV,Enchantment Labels,Incompatible Labels
//i.imgur.com/I0DdmsO.png,Attack Defense Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.7/1.1/1.5/1.9 DEF,DUALSTAT ATTACK DEFENSE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Dexterity Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.7/1.1/1.5/1.9 DEX,DUALSTAT ATTACK DEXTERITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Mana Bonus,ALL,+.7/1.1/1.5/1.9 ATT +10/15/20/25 MP,DUALSTAT ATTACK MANA FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Life Bonus,ALL,+.7/1.1/1.5/1.9 ATT +7.5/10/12.5/15 HP,DUALSTAT ATTACK LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Speed Bonus,ALL,+.7/1.1/1.5/1.9 ATT +1.1/1.7/2.3/2.9 SPD,DUALSTAT ATTACK SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Vitality Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.9/1.4/1.9/2.4 VIT,DUALSTAT ATTACK VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Attack Wisdom Bonus,ALL,+.7/1.1/1.5/1.9 ATT +.9/1.4/1.9/2.4 WIS,DUALSTAT ATTACK WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Dexterity Bonus,ALL,+.7/1.1/1.5/1.9 DEF +.7/1.1/1.5/1.9 DEX,DUALSTAT DEFENSE DEXTERITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Mana Bonus,ALL,+.7/1.1/1.5/1.9 DEF +10/15/20/25 MP,DUALSTAT DEFENSE MANA FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Life Bonus,ALL,+.7/1.1/1.5/1.9 DEF +7.5/10/12.5/15 HP,DUALSTAT DEFENSE LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Speed Bonus,ALL,+.7/1.1/1.5/1.9 DEF +1.1/1.7/2.3/2.9 SPD ,DUALSTAT DEFENSE SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Vitality Bonus,ALL,+.7/1.1/1.5/1.9 DEF +.9/1.4/1.9/2.4 VIT ,DUALSTAT DEFENSE VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Defense Wisdom Bonus,ALL,+.7/1.1/1.5/1.9 DEF +.9/1.4/1.9/2.4 WIS,DUALSTAT DEFENSE WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Dexterity Mana Bonus,ALL,+.7/1.1/1.5/1.9 DEX +10/15/20/25 MP,DUALSTAT DEXTERITY MANA FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Dexterity Life Bonus,ALL,+.7/1.1/1.5/1.9 DEX +7.5/10/12.5/15 HP,DUALSTAT DEXTERITY LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Dexterity Speed Bonus,ALL,+.7/1.1/1.5/1.9 DEX +1.1/1.7/2.3/2.9 SPD ,DUALSTAT DEXTERITY SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Dexterity Vitality Bonus,ALL,+.7/1.1/1.5/1.9 DEX +.9/1.4/1.9/2.4 VIT ,DUALSTAT DEXTERITY VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Dexterity Wisdom Bonus,ALL,+.7/1.1/1.5/1.9 DEX +.9/1.4/1.9/2.4 WIS,DUALSTAT DEXTERITY WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Mana Life Bonus,ALL,+10/15/20/25 MP +7.5/10/12.5/15 HP,DUALSTAT MANA LIFE FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Mana Speed Bonus,ALL,+10/15/20/25 MP +1.1/1.7/2.3/2.9 SPD,DUALSTAT MANA SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Mana Vitality Bonus,ALL,+10/15/20/25 MP +.9/1.4/1.9/2.4 VIT,DUALSTAT MANA VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Mana Wisdom Bonus,ALL,+10/15/20/25 MP +.9/1.4/1.9/2.4 WIS,DUALSTAT MANA WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Life Speed Bonus,ALL,+7.5/10/12.5/15 HP +1.1/1.7/2.3/2.9 SPD,DUALSTAT LIFE SPEED FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Life Vitality Bonus,ALL,+7.5/10/12.5/15 HP +.9/1.4/1.9/2.4 VIT,DUALSTAT LIFE VITALITY FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Life Wisdom Bonus,ALL,+7.5/10/12.5/15 HP +.9/1.4/1.9/2.4 WIS,DUALSTAT LIFE WISDOM FLATBONUS,DUALSTAT
//i.imgur.com/I0DdmsO.png,Speed Vitality Bonus,ALL,+1.1/1.7/2.3/2.9 SPD +.9/1.4/1.9/2.4 VIT ,DUALSTAT SPEED VITALITY FLATBONUS,DUALSTAT
