Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/RXO9NFy.png,0,Shortbow,Main: 15-20 (17.5)Side (2): 5-10 (7.5),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/IM9yP0J.png,1,Reinforced Bow,Main:20-25 (22.5)Side (2): 5-10 (7.5),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/Wew7oBw.png,2,Hardwood Bow,Main: 25-30 (27.5)Side (2): 5-15 (10),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/lrGG4Vj.png,3,Greywood Bow,Main: 30-35 (32.5)Side (2): 5-15 (10),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/yJVMlYD.png,4,Ironwood Bow,Main: 35-45 (40)Side (2): 15-20 (17.5),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/jv1LGl4.png,5,Fire Bow,Main: 45-55 (50)Side (2): 15-20 (17.5),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/H8wxNdo.png,6,Sharpshooter Bow,Main: 55-65 (60)Side (2): 15-20 (17.5),https://i.imgur.com/wHAFOAw.png
https://i.imgur.com/BKoMGlp.png,7,Redwood Bow,Main: 65-75 (70)Side (2): 20-30 (25),https://i.imgur.com/pW8VMAx.png
https://i.imgur.com/IF6cb48.png,8,Golden Bow,Main: 85-95 (90)Side (2): 20-30 (25),https://i.imgur.com/wePhzZa.png
https://i.imgur.com/VrutGFr.png,9,Verdant Bow,Main: 95-105 (100)Side (2): 20-30 (25),https://i.imgur.com/1CsJlfA.png
https://i.imgur.com/DPRMX44.png,10,Bow of Fey Magic,Main: 105-115 (110)Side (2): 25-35 (30),https://i.imgur.com/hCP0mSE.png
https://i.imgur.com/6eYLdXj.png,11,Bow of Innocent Blood,Main: 115-125 (120)Side (2): 25-35 (30),https://i.imgur.com/jRvtJ4i.png
https://i.imgur.com/ARPmplz.png,12,Bow of Covert Havens,Main: 125-135 (130)Side (2): 25-35 (30),https://i.imgur.com/VdG4a9N.png
https://i.imgur.com/UyGyktA.png,13,Bow of Mystical Energy,Main: 135-145 (140)Side (2): 35-45 (40),https://i.imgur.com/yhFHgAJ.png
https://i.imgur.com/NAUfUpK.png,14,Bow of Deep Enchantment,Main: 145-155 (150)Side (2): 35-45 (40),https://i.imgur.com/4rapJtz.png
https://i.imgur.com/e9kBTMN.png,UT,Bramble Bow,30-45 (37.5)Rate of Fire: 120%Shots hit multiple targetsWavy shots,https://i.imgur.com/2AvumlC.png
https://i.imgur.com/pPYEHGW.png,UT,Butter Bow,15-50 (32.5)Rate of Fire: 120%Shots hit multiple targets,https://i.imgur.com/ZSp1S3u.gif
https://i.imgur.com/Oej2CEf.png,UT,Baked Bow,15-50 (32.5)Rate of Fire: 120%Shots hit multiple targetsIgnores defense of target,https://i.imgur.com/VqREQwV.png
https://i.imgur.com/2bAqWdl.png,UT,Cupid’s Bow,Main: 115-125 (120)Side (2): 25-35 (30)Shots hit multiple targets,https://i.imgur.com/8kxzJBy.png
https://i.imgur.com/06Ez1GP.png,UT,Predator Bow,95-140 (117.5)Rate of Fire: 75%Projectile Speed: 16Shots hit multiple targets,https://i.imgur.com/3p7BiNk.png
https://i.imgur.com/jNzGW6I.png,UT,Coral Bow,75-95 (85)Rate of Fire: 125%Projectile Speed: 18.5Shots hit multiple targets,https://i.imgur.com/bCdRP43.png
https://i.imgur.com/3GjgWJy.png,UT,Doom Bow,500-600 (550)Rate of Fire: 33%Projectile Speed: 14Shots hit multiple targets,https://i.imgur.com/XvMbsM4.png
https://i.imgur.com/HTra5EH.png,UT,Leaf Bow,120-175 (147.5)Rate of Fire: 140%Projectile Speed: 12Wavy shots+5 SPD,https://i.imgur.com/i588IOA.gif
https://i.imgur.com/LDXA6F8.png,UT,Spider Silk Bow,Main: 180-290 (235)Burst Count:2Burst Delay:1Minimum Burst Delay:0.6Side (2): 10-45 (27.5)Rate of Fire: 130%Shots hit multiple targetsIgnores defense of target+5 ATT,https://i.imgur.com/dZWlDQH.png
https://i.imgur.com/1cji9i9.png,UT,Thousand Shot,65-130 (97.5)Rate of Fire: 200%Projectile Speed: 16.5Shots hit multiple targetsIgnores defense of target+30 MP,https://i.imgur.com/Mc1xcBR.png
