Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/xXg5UIl.png,0,Steel Dagger,25-70 (47.5),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/4JERvZe.png,1,Dirk,25-80 (52.5),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/tokA5X0.png,2,Blue Steel Dagger,30-85 (57.5),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/hift5qA.png,3,Dusky Rose Dagger,40-90 (65),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/AIpC51j.png,4,Silver Dagger,45-100 (72.5),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/hHfwWGc.png,5,Golden Dagger,50-110 (80),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/gC44O4d.png,6,Obsidian Dagger,60-125 (92.5),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/smV2ATg.png,7,Mithril Dagger,70-140 (105),https://i.imgur.com/5qBkiqj.png
https://i.imgur.com/2abWJF2.png,8,Fire Dagger,85-155 (120),https://i.imgur.com/xRGGymv.png
https://i.imgur.com/ihmHSeI.png,9,Ragetalon Dagger,95-165 (130),https://i.imgur.com/8yFtFL5.png
https://i.imgur.com/XqxfYSJ.png,10,Emeraldshard Dagger,100-175 (137.5),https://i.imgur.com/pH6YfXh.png
https://i.imgur.com/ds9wJeI.png,11,Agateclaw Dagger,105-190 (147.5),https://i.imgur.com/1TPwNls.png
https://i.imgur.com/BaLWiQC.png,12,Dagger of Foul Malevolence,115-200 (157.5),https://i.imgur.com/bdEBOo7.png
https://i.imgur.com/E3DXbmJ.png,13,Dagger of Sinister Deeds,125-220 (172.5),https://i.imgur.com/Avb1t8v.png
https://i.imgur.com/aojJuaq.png,14,Dagger of Dire Hatred,140-235 (187.5),https://i.imgur.com/g8SkwKK.png
https://i.imgur.com/DjsPr2i.png,UT,Poison Fang Dagger,75–115 (95)Rate of Fire: 140%,https://i.imgur.com/CHceEza.gif
https://i.imgur.com/yuTbXQG.png,UT,Bone Dagger,95–170 (132.5)Shots hit multiple targetsRate of Fire: 110%,https://i.imgur.com/YfKvy4j.png
https://i.imgur.com/RfU7wfL.png,UT,Mister Mango,250-300 (275)Projectile Speed: 7.5Rate of Fire: 50%,https://i.imgur.com/sSYTv8p.gif
https://i.imgur.com/8sXOWhF.png,UT,Groovy Mango,250-300 (275)Projectile Speed: 7.5Rate of Fire: 75%,https://i.imgur.com/V6AQfEa.gif
https://i.imgur.com/4y3d2NH.png,UT,Heartfind Dagger,105-190 (147.5),https://i.imgur.com/CcqQcou.png
https://i.imgur.com/OXOBud7.png,UT,Marionette Ravager,75–150 (average: 112.5)Ignores defense of targetRate of Fire: 130%+4 SPD,https://i.imgur.com/6LxcMZ1.png
https://i.imgur.com/q9SSX6D.png,UT,Bounty Hunter’s Dagger,110-160 (135)Shots pass through obstaclesRate of Fire: 65%,https://i.imgur.com/0lci6n3.png
https://i.imgur.com/VKZyp0S.png,UT,Spirit Dagger,50-280 (165)Projectile Speed: 13Amplitude: 0.2Frequency: 0.2Rate of Fire: 105%,https://i.imgur.com/bt3SjNy.png
https://i.imgur.com/WiuoSvn.png,UT,Corruption Cutter,85–100 (92.5)Amplitude: 1.5Frequency: 0.7Wavy shotsRate of Fire: 120%,https://i.imgur.com/Ypodi6Y.png
https://i.imgur.com/VZcwjjQ.png,UT,The Right Hook,200–300 (150)Rate of Fire: 65%+6 VIT,https://i.imgur.com/gSfQ9uY.png
https://i.imgur.com/eZzC5ci.png,UT,Chain Dagger,110-130 (120)Projectile Speed: 11Bleedingon enemies for 4.5 seconds. (Bleed Damage: 50)Rate of Fire: 80%,https://i.imgur.com/OIhG2oB.png
https://i.imgur.com/Bjlfsca.png,UT,Queen’s Stinger,150–170 (160)Projectile Speed: 10Shots hit multiple targetsIgnores defense of targetRate of Fire: 105%,https://i.imgur.com/SWWuZGZ.png
https://i.imgur.com/j02GzKq.png,UT,Dueling Daggers,85–100 (92.5)Amplitude: 1.5Frequency: 0.7Wavy shotsRate of Fire: 120%,https://i.imgur.com/OXyBTZt.png
https://i.imgur.com/NSAUa7q.png,UT,Corrosion Cutter,150–170 (160)Projectile Speed: 10Shots hit multiple targetsIgnores defense of targetRate of Fire: 105%,https://i.imgur.com/sgtq2dN.png
https://i.imgur.com/6J66iJi.png,UT,Dirk of Cronus,150–290 (220)Projectile Speed: 18Rate of Fire: 95%+6 WIS,https://i.imgur.com/XYN0des.png
https://i.imgur.com/EOAwgwe.png,UT,Mischief,"Petal Bolt:70–300 (185)Rate of Fire: 105%Cherry Petal:40–100 (70),20–110 (65)Ignores defense of targetRate of Fire: 13%, 25%",https://i.imgur.com/Aydfcj8.png
https://i.imgur.com/vHD1WOk.png,UT,Avarice,190-215 (202.5)Projectile Speed: 13.3Amplitude: 0.55Frequency: 0.5Rate of Fire: 105%,https://i.imgur.com/2r5yLni.png
https://i.imgur.com/tp1CxmC.png,ST,Blade of Fates,Bullet 1:350-500 (425)Rate of Fire: 12%Bullet 2: 180-245 (212.5)Rate of Fire: 72%-8% SPD Equal to SPD,https://i.imgur.com/kJAbsIa.png
