Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/lfwUKyI.png,7,Hunter’s Longbow,65-70 (67.5),https://i.imgur.com/6zpTRF9.png
https://i.imgur.com/5CV4DYw.png,8,Gilded Longbow,75-80 (77.5),https://i.imgur.com/A4XOUpO.png
https://i.imgur.com/qoPfCxL.png,9,Emerald Longbow,85-90 (87.5),https://i.imgur.com/OQ76UK0.png
https://i.imgur.com/jyArccj.png,10,Mystic Longbow,90-105 (97.5),https://i.imgur.com/mS6WjYG.png
https://i.imgur.com/N9sluEX.png,11,Crimson Longbow,95-115 (105),https://i.imgur.com/jvnck8g.png
https://i.imgur.com/cIX3rhh.png,12,Longbow of the Endless Sky,100-125 (112.5),https://i.imgur.com/PwUH2dx.png
https://i.imgur.com/WDyJXDC.png,13,Longbow of the Morning Spirit,105-130 (117.5),https://i.imgur.com/AMLdITk.png
https://i.imgur.com/2fSBhkB.png,14,Longbow of the Midnight Diamond,110-145 (127.5),https://i.imgur.com/Zwqc2EC.png
https://i.imgur.com/GKt18ae.png,UT,Hama Yumi,Main: 120-150 (135)Side: 55-65 (60)Ignores defense of target,https://i.imgur.com/tQtVY0x.png
https://i.imgur.com/bB3OmG9.png,ST,Experimental Cannon,95–115 (average: 105)Ignores defense of target+2 SPD,https://i.imgur.com/ZPIhE8g.png
https://i.imgur.com/3nU2od3.png,UT,Anteros Longbow,95-115 (105),https://i.imgur.com/ukuAjPx.png
https://i.imgur.com/92AQw0I.png,UT,Harpoon Longbow,100-110 (105)Bleedingon enemies for 1 second. (Bleed Damage: 5),https://i.imgur.com/eVDy43T.png
https://i.imgur.com/QjRFLIF.png,UT,Shard Launcher,100-110 (105)Bleedingon enemies for 1 second. (Bleed Damage: 5),https://i.imgur.com/bLdu8GQ.gif
https://i.imgur.com/eYaly41.png,UT,Longbow of the Great Glacier,100-125 (112.5),https://i.imgur.com/HFbzS7E.png
https://i.imgur.com/nwCpBsN.png,UT,Frangible Longbow,105-125 (115),https://i.imgur.com/HnmjBz0.png
https://i.imgur.com/YJxFRXY.png,UT,Hero’s Longbow,105-130 (117.5),https://i.imgur.com/BzlPaqb.png
https://i.imgur.com/oj32ddc.png,UT,Longbow of Spirits and Shadows,Main: 120-150 (135)Side: 55-65 (60)Ignores defense of target,https://i.imgur.com/zRkSFfc.png
