Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/wMmqTWw.png,0,Energy Staff,10-25 (17.5),https://i.imgur.com/sR08HY1.png
https://i.imgur.com/72Njhx8.png,1,Firebrand Staff,10-30 (20),https://i.imgur.com/5ECuuJf.png
https://i.imgur.com/dOIDdKX.png,2,Comet Staff,15-35 (25),https://i.imgur.com/sR08HY1.png
https://i.imgur.com/LcMYJlw.png,3,Serpentine Staff,20-40 (30),https://i.imgur.com/rKhpKwS.png
https://i.imgur.com/PO7A1xD.png,4,Meteor Staff,25-45 (35),https://i.imgur.com/M3GbSjz.png
https://i.imgur.com/UH6hHIr.png,5,Slayer Staff,35-55 (45),https://i.imgur.com/hyMnbgE.png
https://i.imgur.com/kqggaFU.png,6,Avenger Staff,40-70 (55),https://i.imgur.com/RU5m12p.png
https://i.imgur.com/30bamPz.png,7,Staff of Destruction,45-85 (65),https://i.imgur.com/5ECuuJf.png
https://i.imgur.com/NaJfx4l.png,8,Staff of Horror,50-90 (70),https://i.imgur.com/p2ehuOH.png
https://i.imgur.com/ySNBTdu.png,9,Staff of Necrotic Arcana,50-95 (72.5),https://i.imgur.com/sR08HY1.png
https://i.imgur.com/nHBniQs.png,10,Staff of Diabolic Secrets,55-95 (75),https://i.imgur.com/RU5m12p.png
https://i.imgur.com/uVcGAae.png,11,Staff of Astral Knowledge,55-100 (77.5),https://i.imgur.com/2VdLroF.png
https://i.imgur.com/cnKvKxT.png,12,Staff of the Cosmic Whole,60-100 (80),https://i.imgur.com/5ECuuJf.png
https://i.imgur.com/spRnVBC.png,13,Staff of the Vital Unity,65-110 (87.5),https://i.imgur.com/Z493jbQ.png
https://i.imgur.com/t3Ko60Q.png,14,Staff of the Fundamental Core,75-115 (95),https://i.imgur.com/p2ehuOH.png
https://i.imgur.com/E3rQtUJ.png,UT,Staff of the Crystal Serpent,60-70 (65)Rate of Fire: 110%,https://i.imgur.com/ZKjynQ0.png
https://i.imgur.com/SGuH4eT.png,UT,K.I.D.D. Force,80-130 (105)Projectile Speed: 5Amplitude: 1.5Frequency: 1.75Rate of Fire: 80%,https://i.imgur.com/c41hcQt.gif
