Image link,Tier,Name,Damage (Average),Projectile Image link
https://i.imgur.com/jJ9hmVA.png,7,Cloudstrike Tachi,60-90 (75),https://i.imgur.com/Cextkxs.png
https://i.imgur.com/bf6r21X.png,8,Devilbane Tachi,70-100 (85),https://i.imgur.com/tSXuCf9.png
https://i.imgur.com/RiTKq9o.png,9,Darksteel Tachi,75-105 (90),https://i.imgur.com/K8epvhe.png
https://i.imgur.com/rCv56zi.png,10,Dragonbone Tachi,80-110 (95),https://i.imgur.com/CUU00oB.png
https://i.imgur.com/blmssqx.png,11,Accursed Tachi,85-120 (102.5),https://i.imgur.com/s81fOY6.png
https://i.imgur.com/c27K3uJ.png,12,Skyslash Tachi,90-125 (107.5),https://i.imgur.com/1AuXd8K.png
https://i.imgur.com/KT9Z3eL.png,13,Sunset Tachi,100-135 (117.5),https://i.imgur.com/t47rXvq.png
https://i.imgur.com/GldsFK5.png,14,Godslayer Tachi,110-140 (125),https://i.imgur.com/aPdvfx0.png
https://i.imgur.com/9DGwJKM.png,UT,Brambletooth Tachi,75-105 (90)Shots pass through obstaclesShots boomerang,https://i.imgur.com/tWZRbhQ.gif
https://i.imgur.com/wH72iVT.png,UT,Burial Blades,75-125 (100)Ignores defense of target,https://i.imgur.com/3u0WGGf.png
https://i.imgur.com/bDXgEeK.png,UT,Tools of the Tarnished,Shot 1: 65-75 (70)Rate of Fire: 150%Shot 2: 290-340 (315)Rate of Fire: 33%Ignores defense of target,https://i.imgur.com/Ju6WB5B.png
https://i.imgur.com/is2p3E1.png,UT,Sweetheart Taichi,85-120 (102.5),https://i.imgur.com/y9mr1QO.gif
https://i.imgur.com/o3hNbLq.png,UT,Aurora Tachi,90-125 (107.5),https://i.imgur.com/leG6LdA.png
https://i.imgur.com/ziwQqBt.png,UT,Bunny Ear Tachi,90-120 (105),https://i.imgur.com/xXf6P1M.png
https://i.imgur.com/SYx3wTh.png,UT,Hookblade Tachi,90-120 (105),https://i.imgur.com/ZcLQlUp.png
https://i.imgur.com/mT1j9Ld.png,UT,Ritual Khopesh,90-120 (105),https://i.imgur.com/ZgoRpJk.png
https://i.imgur.com/Rtgo4z5.png,UT,Hero’s Tachi,100-135 (117.5),https://i.imgur.com/fhQgn5K.png
